"id","site","job_url","job_url_direct","title","company","location","date_posted","job_type","salary_source","interval","min_amount","max_amount","currency","is_remote","job_level","job_function","listing_type","emails","description","company_industry","company_url","company_logo","company_url_direct","company_addresses","company_num_employees","company_revenue","company_description","skills","experience_range","company_rating","company_reviews_count","vacancy_count","work_from_home_type"
"in-16d5e65fc0f97d83","indeed","https://ph.indeed.com/viewjob?jk=16d5e65fc0f97d83","http://ph.indeed.com/job/software-quality-assurance-engineer-16d5e65fc0f97d83","Software Quality Assurance Engineer","VTIMETECH CONSULTING INC","Makati, P00, PH","2026-07-13","fulltime","","","","","",False,"","","","","**Job Overview**

We are seeking a highly analytical iGaming Senior Quality Assurance (QA) Engineer with a strong background in mathematical logic, API reverse engineering, and white\\-box security testing. In this role, you will go beyond conventional web and UI functional testing to serve as the critical gatekeeper for our platform's numerical integrity and financial security. You will be deeply involved in verifying the core logic and interface security across iGaming product lines, including Slots, Arcade Fishing, Lottery, LiveCasino, and crash\\- or multiplier\\-based games.

You must possess a thorough understanding of the underlying principles of Return to Player (RTP), Random Number Generation (RNG), and the law of conservation of expected value, with the ability to identify mathematical flaws and exploit vulnerabilities arising from complex betting strategies. Furthermore, you must maintain a reverse\\-engineering mindset that mistrusts frontend UI restrictions. You will be skilled at using packet\\-capturing tools and automation scripts to bypass client\\-side limitations, and at directly executing API parameter tampering, race\\-condition double\\-spending, and replay\\-attack testing to proactively discover server\\-side validation loopholes and protect system assets.

**Key Responsibilities**

**1\\. API Reverse Engineering \\& Parametric Tampering Testing**

* Maintain a hacker\\-defense mindset to bypass client\\-side limitations such as disabled UI buttons or predefined input ranges, directly constructing and transmitting malicious requests via specialized tools.
* Boundary and Out\\-of\\-Bounds Testing: Intentionally transmit parameters that cannot be selected via the UI, negative values, floating\\-point numbers, or incorrect data types to verify that the backend implements strict secondary validation and rejection mechanisms.
* Overflow and Negative Betting Testing: Test the injection of negative wager values or extreme maximum values to ensure the system is immune to critical vulnerabilities such as integer overflows, data type inversion, or unauthorized wallet balance inflation.

**2\\. Core iGaming Security \\& Vulnerability Testing**

* Replay Attack Testing: Intercept and repeatedly transmit successful payout API requests to verify whether the backend incorporates verification mechanisms like timestamps or cryptographically secure one\\-time tokens (Nonces) to prevent duplicate payouts.
* Race Condition \\& Double\\-Spending Testing: Utilize load\\-testing utilities to simulate a high volume of concurrent, identical wager, withdrawal, or settlement requests within the same microsecond to validate database locking mechanisms and ensure wallets cannot be driven into negative balances or unauthorized over\\-betting.
* Authorization and Privilege Escalation Testing: Perform horizontal and vertical privilege escalation assessments to verify whether low\\-privilege credentials can query or modify other users' datasets, or if a standard player account can invoke sensitive management backend interfaces.
* Data Integrity Verification: Tamper with transmission parameters without updating the encrypted request signatures to verify whether the backend accurately intercepts and rejects unauthorized requests due to signature mismatches.

**3\\. Numerical \\& Statistical Probability Verification**

* Collaborate closely with math modelers and game designers to understand the theoretical mathematical models and probability distributions governing each game type.
* Expected Value Verification: Execute targeted stress tests against various multi\\-selection and automated betting coverage strategies to verify that, regardless of the wagering combination, the actual return over large sample sizes perfectly converges with the theoretical RTP, eliminating mathematical calculation loopholes.
* Automated Simulation: Conduct simulation testing at a scale of millions of iterations against backend RNG and outcome APIs to statistically verify the uniform distribution of the random number generator and the proper convergence of empirical data.

**4\\. Multi\\-Genre iGaming \\& Backend Accounting Verification**

* State Machine Transition Testing: Conduct disconnection\\-and\\-reconnection along with abnormal termination testing during specific reward modes or free game cycles to ensure data consistency and state recoverability.
* Real\\-Time Billing Precision: Verify that event triggers and wallet deductions in high\\-frequency, real\\-time games achieve precise synchronization without dropped frames or lost transactions.
* Three\\-Way Accounting Alignment: Execute strict data reconciliation across the frontend game interface, user lobby wallet, and backend transaction logs to ensure every settlement amount is accurate.
* Management Control Validity: Test configuration adjustments made via the management backend to ensure that math\\-shifting or risk\\-control parameters take effect immediately and shift the RNG outcomes precisely as intended.

**Job Requirements**

**Mandatory Qualifications: Mathematical Logic \\& Security Testing**

* Numerical Sensitivity: Possess a solid foundation in probability theory and statistics, an understanding of the Law of Large Numbers, and complete immunity to the Gambler’s Fallacy. Ability to comprehend and mathematically explain why changing wagering combinations or implementing full\\-coverage hedging strategies leaves the long\\-term theoretical RTP unaltered.
* Security Testing Toolchain:

\\- Proficiency with network interception tools such as Charles, Fiddler, or Burp Suite, with a complete mastery of breakpoints, request replication, and network condition simulation features.

\\- Proficiency with Postman, JMeter, or equivalent API testing frameworks.

\\- Competency in at least one scripting language (such as Python or JavaScript) to independently write automated scripts for mass API execution, statistical collection, and data extraction.

\\- Transactional Rigor: High sensitivity toward financial figures and data integrity, with a fundamental grasp of database transactions, isolation levels, and concurrency control.

**Preferred Qualifications**

* Prior QA experience dealing with iGaming products, online casino platforms, or high\\-frequency arcade\\-style systems.
* Familiarity with the operational mechanics of standard 2D/3D game engines or extensive experience with real\\-time WebSocket communication protocols.
* Practical experience in big data analysis, advanced data manipulation, or designing automated analytical models using advanced Excel scripting and macros.

Benefits:

* Additional leave
* Company Christmas gift
* Company events
* Health insurance
* Opportunities for promotion
* Pay raise

Work Location: In person","","https://ph.indeed.com/cmp/Vtimetech-Consulting-Inc","https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/6b9c4f7f21022f7d0dbb538b0c9d4ff6","","U18A 18th Floor, Trafalgar Plaza, H.V. Dela Costa Bel Air Makati City","11 to 50","","Services Web Development, Mobile App Development, UIUX Design, Product Development, Project Management, Graphic Design, and more.","","","","","",""
"in-64301b906d07b85a","indeed","https://ph.indeed.com/viewjob?jk=64301b906d07b85a","http://ph.indeed.com/job/software-quality-assurance-engineer-64301b906d07b85a","Software Quality Assurance Engineer","LUCKY365 CONSULTING LIMITED CORP.","Makati, P00, PH","2026-07-13","fulltime","","","","","",False,"","","","","**Job Overview**

We are seeking a highly analytical iGaming Senior Quality Assurance (QA) Engineer with a strong background in mathematical logic, API reverse engineering, and white\\-box security testing. In this role, you will go beyond conventional web and UI functional testing to serve as the critical gatekeeper for our platform's numerical integrity and financial security. You will be deeply involved in verifying the core logic and interface security across iGaming product lines, including Slots, Arcade Fishing, Lottery, LiveCasino, and crash\\- or multiplier\\-based games.

You must possess a thorough understanding of the underlying principles of Return to Player (RTP), Random Number Generation (RNG), and the law of conservation of expected value, with the ability to identify mathematical flaws and exploit vulnerabilities arising from complex betting strategies. Furthermore, you must maintain a reverse\\-engineering mindset that mistrusts frontend UI restrictions. You will be skilled at using packet\\-capturing tools and automation scripts to bypass client\\-side limitations, and at directly executing API parameter tampering, race\\-condition double\\-spending, and replay\\-attack testing to proactively discover server\\-side validation loopholes and protect system assets.

**Key Responsibilities**

**1\\. API Reverse Engineering \\& Parametric Tampering Testing**

* Maintain a hacker\\-defense mindset to bypass client\\-side limitations such as disabled UI buttons or predefined input ranges, directly constructing and transmitting malicious requests via specialized tools.
* Boundary and Out\\-of\\-Bounds Testing: Intentionally transmit parameters that cannot be selected via the UI, negative values, floating\\-point numbers, or incorrect data types to verify that the backend implements strict secondary validation and rejection mechanisms.
* Overflow and Negative Betting Testing: Test the injection of negative wager values or extreme maximum values to ensure the system is immune to critical vulnerabilities such as integer overflows, data type inversion, or unauthorized wallet balance inflation.

**2\\. Core iGaming Security \\& Vulnerability Testing**

* Replay Attack Testing: Intercept and repeatedly transmit successful payout API requests to verify whether the backend incorporates verification mechanisms like timestamps or cryptographically secure one\\-time tokens (Nonces) to prevent duplicate payouts.
* Race Condition \\& Double\\-Spending Testing: Utilize load\\-testing utilities to simulate a high volume of concurrent, identical wager, withdrawal, or settlement requests within the same microsecond to validate database locking mechanisms and ensure wallets cannot be driven into negative balances or unauthorized over\\-betting.
* Authorization and Privilege Escalation Testing: Perform horizontal and vertical privilege escalation assessments to verify whether low\\-privilege credentials can query or modify other users' datasets, or if a standard player account can invoke sensitive management backend interfaces.
* Data Integrity Verification: Tamper with transmission parameters without updating the encrypted request signatures to verify whether the backend accurately intercepts and rejects unauthorized requests due to signature mismatches.

**3\\. Numerical \\& Statistical Probability Verification**

* Collaborate closely with math modelers and game designers to understand the theoretical mathematical models and probability distributions governing each game type.
* Expected Value Verification: Execute targeted stress tests against various multi\\-selection and automated betting coverage strategies to verify that, regardless of the wagering combination, the actual return over large sample sizes perfectly converges with the theoretical RTP, eliminating mathematical calculation loopholes.
* Automated Simulation: Conduct simulation testing at a scale of millions of iterations against backend RNG and outcome APIs to statistically verify the uniform distribution of the random number generator and the proper convergence of empirical data.

**4\\. Multi\\-Genre iGaming \\& Backend Accounting Verification**

* State Machine Transition Testing: Conduct disconnection\\-and\\-reconnection along with abnormal termination testing during specific reward modes or free game cycles to ensure data consistency and state recoverability.
* Real\\-Time Billing Precision: Verify that event triggers and wallet deductions in high\\-frequency, real\\-time games achieve precise synchronization without dropped frames or lost transactions.
* Three\\-Way Accounting Alignment: Execute strict data reconciliation across the frontend game interface, user lobby wallet, and backend transaction logs to ensure every settlement amount is accurate.
* Management Control Validity: Test configuration adjustments made via the management backend to ensure that math\\-shifting or risk\\-control parameters take effect immediately and shift the RNG outcomes precisely as intended.

**Job Requirements**

**Mandatory Qualifications: Mathematical Logic \\& Security Testing**

* Numerical Sensitivity: Possess a solid foundation in probability theory and statistics, an understanding of the Law of Large Numbers, and complete immunity to the Gambler’s Fallacy. Ability to comprehend and mathematically explain why changing wagering combinations or implementing full\\-coverage hedging strategies leaves the long\\-term theoretical RTP unaltered.
* Security Testing Toolchain:

\\- Proficiency with network interception tools such as Charles, Fiddler, or Burp Suite, with a complete mastery of breakpoints, request replication, and network condition simulation features.

\\- Proficiency with Postman, JMeter, or equivalent API testing frameworks.

\\- Competency in at least one scripting language (such as Python or JavaScript) to independently write automated scripts for mass API execution, statistical collection, and data extraction.

\\- Transactional Rigor: High sensitivity toward financial figures and data integrity, with a fundamental grasp of database transactions, isolation levels, and concurrency control.

**Preferred Qualifications**

* Prior QA experience dealing with iGaming products, online casino platforms, or high\\-frequency arcade\\-style systems.
* Familiarity with the operational mechanics of standard 2D/3D game engines or extensive experience with real\\-time WebSocket communication protocols.
* Practical experience in big data analysis, advanced data manipulation, or designing automated analytical models using advanced Excel scripting and macros.

Benefits:

* Additional leave
* Company Christmas gift
* Company events
* Health insurance
* Life insurance
* Opportunities for promotion
* Pay raise

Work Location: In person","","https://ph.indeed.com/cmp/Lucky365-Consulting-Limited-Corp.-1","","","","","","","","","","","",""
"in-5b4f9b1f3f48703a","indeed","https://ph.indeed.com/viewjob?jk=5b4f9b1f3f48703a","http://ph.indeed.com/job/back-end-developer-hybrid-makati-5b4f9b1f3f48703a","Back-End Developer Hybrid (Makati)","HRTX consulting","Makati, P00, PH","2026-07-13","fulltime","","","","","",True,"","","","","**Back\\-End Developer**

* **Location:** Makati City (Onsite)
* **Schedule:** Monday to Friday, Hybrid Set up, Night Shift

**In This Role, You Are Responsible For:**

As a Back\\-End Developer, you will design, build, and maintain the server\\-side logic, databases, and core application programming interfaces (APIs) that power the firm's internal platforms and digital solutions. You will collaborate closely with front\\-end teams and system architects to ensure secure, high\\-performing, and seamlessly integrated software infrastructure.

**Key Responsibilities**

* Architecture and implementation of robust, scalable, and secure server\\-side logic and database structures.
* Development, testing, and deployment of clean, maintainable, and highly efficient code.
* Creation and integration of secure APIs and web services to support front\\-end and third\\-party systems.
* Performance optimization of backend services to manage high data volumes and minimize latency.
* Identification, troubleshooting, and debugging of system issues to maintain continuous operational stability.

**Qualifications**

* Bachelor’s degree in Computer Science, Information Technology, or a closely related technical field.
* Proven experience as a Back\\-End Developer using technologies such as Node.js, Python, Java, or C\\#.
* Strong expertise in database management systems, including both SQL (e.g., PostgreSQL, MySQL) and NoSQL solutions.
* Solid understanding of API design principles, RESTful services, and modern security protocols.
* Experience with cloud platforms (AWS, Azure, or GCP) and version control tools like Git.

Benefits:

* Company Christmas gift
* Company events
* Flexible schedule
* Opportunities for promotion
* Promotion to permanent employee
* Work from home

Application Question(s):

* How much is your expected salary?
* How much is your current/previous basic salary?
* How many days need to render?

Education:

* Bachelor's (Required)

Work Location: In person","","https://ph.indeed.com/cmp/Hrtx-Consulting","","","","","","","","","","","",""
"in-15ac176025fb5992","indeed","https://ph.indeed.com/viewjob?jk=15ac176025fb5992","http://ph.indeed.com/job/front-end-developer-hybrid-makati-15ac176025fb5992","Front-End Developer Hybrid (Makati)","HRTX consulting","Makati, P00, PH","2026-07-13","fulltime","","","","","",True,"","","","","**Front\\-End Developer**

* **Location:** Makati City
* **Shift/Schedule:** Monday to Friday, Hybrid Set up, Night Shift

In This Role, You Are Responsible For

As a Front\\-End Developer, you are responsible for translating design wireframes and business requirements into high\\-quality, interactive, and responsive web applications. You will champion the user experience by optimizing web performance, ensuring seamless UI/UX implementation, and collaborating closely with cross\\-functional teams to deploy scalable digital products that support the firm's technological innovation.

**Key Responsibilities**

* Develop, test, and maintain user\\-facing web applications using modern front\\-end frameworks.
* Build reusable code, UI components, and libraries for future scalability and consistency.
* Collaborate with UI/UX designers to ensure the technical feasibility of designs and maintain pixel\\-perfect implementation.
* Optimize applications for maximum speed, scalability, and cross\\-browser compatibility.
* Ensure application security, cyber resilience, and data protection controls align with the firm's ISO 27001 standards.
* Identify, debug, and resolve front\\-end performance bottlenecks and production issues.

**Qualifications**

* Bachelor's degree in Computer Science, Information Technology, Web Development, or a related field.
* Proven commercial experience as a Front\\-End Developer with a strong portfolio of web applications.
* Proficiency in core web technologies including HTML5, CSS3, and modern JavaScript (ES6\\+).
* Solid experience working with modern JavaScript frameworks such as React, Angular, or Vue.js.
* Familiarity with responsive web design principles, CSS preprocessors (Sass/Less), and modern build tools (Webpack, Vite, or Git).
* Excellent problem\\-solving skills, strong attention to visual detail, and the ability to work effectively in a collaborative onsite team environment.

Benefits:

* Company Christmas gift
* Company events
* Flexible schedule
* Promotion to permanent employee
* Work from home

Application Question(s):

* How much is your expected salary?
* How much is your current/previous basic salary?
* How many days need to render?

Education:

* Bachelor's (Required)

Work Location: In person","","https://ph.indeed.com/cmp/Hrtx-Consulting","","","","","","","","","","","",""
"in-7c9a7e9bf5796954","indeed","https://ph.indeed.com/viewjob?jk=7c9a7e9bf5796954","http://ph.indeed.com/job/software-developer-hybrid-makati-7c9a7e9bf5796954","Software Developer Hybrid (Makati)","HRTX consulting","Makati, P00, PH","2026-07-13","fulltime","","","","","",True,"","","","","**Software Developer**

* **Location:** Makati City
* **Work Schedule:** Monday to Friday, Hybrid Set up, Night Shift

**Role Summary**

In this role, you will be responsible for designing, coding, and maintaining robust software applications that drive efficiency for both the firm and its clients. Working alongside a collaborative team of digital professionals, you will translate technical requirements into scalable code, ensure optimal application performance, and help implement modern technology solutions in an onsite environment.

**Key Responsibilities**

* Design, develop, and deploy high\\-quality software applications and features.
* Write clean, maintainable, and efficient code in accordance with development standards.
* Collaborate with cross\\-functional teams to analyze system requirements and user needs.
* Troubleshoot, debug, and upgrade existing software systems to optimize performance.
* Participate in code reviews to ensure quality and knowledge sharing across the development team.

**Qualifications**

* Bachelor’s degree in Computer Science, Information Technology, or a related field.
* Proven experience as a Software Developer with proficiency in modern programming languages (e.g., Java, Python, C\\#, or JavaScript/TypeScript).
* Strong understanding of relational databases (e.g., SQL Server, MySQL) and API development.
* Solid problem\\-solving skills and the ability to work effectively in an onsite team setting.
* Excellent communication skills to discuss technical concepts with both technical and non\\-technical stakeholders.

Benefits:

* Company Christmas gift
* Company events
* Flexible schedule
* Opportunities for promotion
* Promotion to permanent employee
* Work from home

Application Question(s):

* How much is your expected salary?
* How much is your current/previous basic salary?
* How many days need to render?

Education:

* Bachelor's (Required)

Work Location: In person","","https://ph.indeed.com/cmp/Hrtx-Consulting","","","","","","","","","","","",""
"in-a49476b3b20f0599","indeed","https://ph.indeed.com/viewjob?jk=a49476b3b20f0599","http://ph.indeed.com/job/technical-support-engineer-java-api-support-a49476b3b20f0599","Technical Support Engineer (Java & API Support)","Tigerux Agile Innovation","Eastwood City, P00, PH","2026-07-13","fulltime","","","","","",False,"","","","","**Location:** Eastwood, Quezon City  
**Shift:** Night Shift (Eastern Time)  
**Work Setup:** Onsite

About the Role

We're looking for an experienced **Technical Support Engineer** to support a Java/Spring Boot\\-based SaaS platform. In this role, you'll troubleshoot production issues, investigate API integrations, perform root cause analysis, and collaborate with Engineering and Product teams to ensure platform stability and continuous improvement.

Key Responsibilities

* Provide L1/L2/L3 production support and incident management
* Investigate and resolve production issues across APIs, integrations, and backend services
* Perform root cause analysis (RCA) and recommend permanent solutions
* Troubleshoot REST and SOAP APIs using Postman or similar tools
* Monitor system health using tools like Splunk, ELK, or Datadog
* Analyze logs, SQL queries, and Linux environments to diagnose issues
* Work closely with Engineering and Product teams to validate fixes
* Develop documentation, runbooks, and process improvements
* Support automation initiatives to improve operational efficiency

Qualifications

* Bachelor's degree in Computer Science, Engineering, or a related field
* **5–6 years of experience** in Technical Support, Production Support, or Backend Engineering
* Strong experience with **Java, Spring Boot, and Microservices**
* Solid understanding of **REST and SOAP APIs**
* Hands\\-on experience with **Postman** or similar API testing tools
* Experience with **Splunk, ELK, Datadog**, or other monitoring tools
* Strong SQL skills (MySQL and/or PostgreSQL)
* Experience working in Linux/Unix environments
* Excellent troubleshooting and analytical skills
* Strong written communication skills

Nice to Have

* AWS, Azure, or GCP experience
* Kafka, RabbitMQ, or ActiveMQ
* Basic Angular, HTML, or CSS knowledge
* JIRA or similar ticketing systems
* Experience in eCommerce, logistics, or shipping platforms
* Familiarity with carrier APIs (FedEx, UPS, Canada Post, etc.)

Application Question(s):

* • Years of Technical Support, Application Support, or Production Support experience do you have?
* • Years of experience do you have with Java and Spring/Spring Boot?
* • Describe a production issue you investigated in a Java/Spring Boot application. What was the root cause?
* • Years of experience do you have troubleshooting REST and/or SOAP APIs?
* • Describe a recent API issue you troubleshooted. How did you identify the root cause?
* • Do you have experience using Postman? If yes, what tasks do you typically perform?
* • Do you have experience writing SQL queries (MySQL or PostgreSQL) to investigate production issues? If yes, briefly describe an example.
* • Which monitoring or log analysis tools have you used (e.g., Splunk, ELK, Datadog)? Briefly describe how you used them.
* • Do you have experience troubleshooting applications in Linux/Unix? Which commands do you commonly use?
* • Which cloud platform(s) have you worked with (AWS, Azure, or GCP)? What tasks did you perform?
* • Do you have experience supporting microservices? Briefly describe your role.
* • Have you worked with Kafka, RabbitMQ, or ActiveMQ? If yes, what issues have you supported?
* • Current/Previous salary:
* Expected salary (state if negotiable):
* Reason for leaving previous work/looking for new opportunity:
* Notice period:
* Current location:
* Active email address:
* Active phone number:
* Availability for an interview:
* • Are you okay with the work setup and schedule?:
* By submitting your details to any authorized representative of ACCPRO International, you consent to the collection and processing of your personal data for hiring purposes—including assessment, screening, verification, and endorsement to client companies—in accordance with the Data Privacy Act of 2012 (RA 10173\\).

Work Location: In person","","https://ph.indeed.com/cmp/Tigerux-Agile-Innovation","","","","","","","","","","","",""
"in-6dc71272ce9b6313","indeed","https://ph.indeed.com/viewjob?jk=6dc71272ce9b6313","http://ph.indeed.com/job/automation-quality-engineer-asap-contractual-6dc71272ce9b6313","Automation Quality Engineer - ASAP (Contractual)","Asian Technology Solutions","Taguig, P00, PH","2026-07-13","fulltime","","","","","",True,"","","","","**Automation Quality Engineer (TOSCA \\+ Selenium) \\| 2\\-3 Months Contract \\| Immediate Hiring**

**Work location: BGC, Taguig**

**Setup: Hybrid (4 days WFH \\& 1 day RTO)**

We are hiring an experienced **Automation Quality Engineer** for a short\\-term contract engagement in the technology and digital services industry. This role is ideal for professionals with strong expertise in **TOSCA and Selenium automation testing** who can quickly contribute to ongoing projects and ensure software quality and stability.

**Responsibilities**

* Design, develop, and maintain automated test scripts using **TOSCA and Selenium**
* Execute **functional, regression, and end\\-to\\-end testing**
* Create and update test cases, test scenarios, and test documentation
* Identify, document, and track defects through resolution
* Collaborate with developers, business analysts, and project teams to resolve issues
* Participate in Agile ceremonies and support continuous testing initiatives
* Ensure software releases meet quality standards and business requirements

**Qualifications**

* Bachelor's degree in Computer Science, Information Technology, Engineering, or related field
* Proven experience in **Automation Testing**
* Strong hands\\-on experience with **TOSCA and Selenium**
* Experience in **Functional Testing, Regression Testing, and Defect Management**
* Familiarity with **Agile/Scrum methodologies**
* Experience with test management and defect tracking tools is an advantage
* Able to work independently and deliver within a fast\\-paced environment
* Available to join immediately or within a short notice period

**Employment Details**

* Employment Type: Contractual (2\\-3 Months)
* Industry: Technology and Digital Services
* Project\\-based engagement with potential exposure to enterprise\\-level applications

Pay: Php50,000\\.00 \\- Php65,000\\.00 per month

Application Question(s):

* How soon can you start?
* Are you willing to work for 2\\-3 months contractual engagement?
* How long is your experience in Automation (TOSCA, Selenium, etc.)

Work Location: Hybrid remote in Taguig","","https://ph.indeed.com/cmp/Asian-Technology-Solutions","https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/5ce4cfcb89011f1655932c4f2e746213","https://www.asian-technology.com","Singapore","11 to 50","","","","","","","",""
"in-cfb048ac10b9e69f","indeed","https://ph.indeed.com/viewjob?jk=cfb048ac10b9e69f","http://ph.indeed.com/job/java-springboot-developer-mid-level-cfb048ac10b9e69f","Java Springboot Developer (Mid Level)","DAPL IT Services","Makati, P00, PH","2026-07-13","fulltime","","","","","",True,"","","","","* Strong experience with Java (versions 8 and 17\\)
* Solid understanding of Spring Framework and Spring Boot
* Experience with REST API development
* Knowledge of Hibernate and JPA
* Strong understanding of PostgreSQL, including:
* Indexing
* Stored procedures
* Query performance analysis
* Experience working in a Linux environment
* Familiarity with Apache Tomcat
* Experience with Docker (containerization) is a plus
* Knowledge of microservices architecture is a plus

Perks:

* Dayshift Schedule
* Weekends Off
* Once a week RTO
* \\+1500 internet allowance

Pay: Php30,000\\.00 \\- Php50,000\\.00 per month

Benefits:

* Additional leave
* Company Christmas gift
* Health insurance
* Promotion to permanent employee
* Work from home

Work Location: Hybrid remote in Makati City","","https://ph.indeed.com/cmp/Dapl-IT-Services","","","","","","","","","","","",""
"in-d9117aa579f5e379","indeed","https://ph.indeed.com/viewjob?jk=d9117aa579f5e379","http://ph.indeed.com/job/account-developer-sales-calicoan-island-pooling-d9117aa579f5e379","Account Developer (Sales) -Calicoan Island - pooling","Coca-Cola Europacific Aboitiz Philippines","Guiuan, P08, PH","2026-07-13","fulltime","","","","","",False,"","","","","Reporting to: Region Manager

At Coca\\- Cola Europacific Aboitiz Philippines, we are driven by our purpose to Refresh the Philippines and Make a Difference\\-\\- continuously leading the Beverage Industry with our Great People, Great Beverages, Great Execution and Great Partners. As we continue to Grow and shape the future, we are seeking passionate and innovative talents to join our team and make a difference with us.

Our commitment to excellence has been recognized through numerous industry awards such as Great Place to Work, Best Places to Work in Asia, Dream Employer of the Year, and Universum's Most Attractive employers\\- and we take pride in our achievements and the impact we have made in the beverage industry.

Key Responsibilities:

* Pre Take Off (PTO) and Conventional Routing System (CRS) Coaching
* coach DSPs and Operations Managers on foundational selling skills and outlet execution aligned with CCEAPI set standards
* facilitate pre take off meetings with DSP's, prepare CRS training objectives for the week
* ensures readiness of tools and materials needed for the route
* review DSP's performance and highlighting opportunities on execution and volume

2\\. Customer Management

* Delivers customer service through relationship management and ensures that customer concerns are settled in the shortest possible time
* provides feedback to the partner and immediate superior on delivery issues, concerns, opportunities for improvement, and other relevant information gathered in the trade
* Drive price compliance

3\\. Volume Achievement and Market Share Growth

* achieves volume objective and revenue targets by delivering high quality service to the assigned outlets
* Sell in products using an established profit story and negotiate for incremental business
* Checks if cascaded marketing programs, promotions and trade deals are executed according to plan

4\\. Outlet Penetration and Conversion

* Coordinates new outlets opened and placement of additional key SKUs including new product launches
* Evolves high potential silver outlets to gold stores

5\\. Communications to Support Functions

* Follows processes established by the support functions
* Provides suggestions to improve these processes based on the experience from daily routine

Suitable candidates will need to demonstrate the following:

\\*Graduate of any Business\\-Related Courses or other relevant courses

\\* Good Communication skills

\\*Strong analytical and negotiation skills

\\*Candidate must possess valid driver's license.

Non\\-Prof holders are welcome to apply.

Reach us through our Social Media Pages!

Thrive with us at Coca\\- Cola Europacific Aboitiz Philippines and be part of a Company that is shaping the future of the beverage industry. Together, we can create great moments and make a positive impact on the lives of millions. Apply today and let's refresh the world together!

Job Types: Full\\-time, Permanent

Application Question(s):

* What's your salary expectations?

Experience:

* Sales: 1 year (Required)

License/Certification:

* Professional driver's license (Required)

Work Location: In person","","https://ph.indeed.com/cmp/Coca--cola-Europacific-Aboitiz-Philippines-1","https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/5b4a93442ab614ba193ffda1afc58eac","","28F SixNeo Building, 5th Avenue corner 26th Street Bonifacio Global City, Taguig City, 1634 Philippines ","5,001 to 10,000","","","","","","","",""
"in-84d05c4b17ac7d14","indeed","https://ph.indeed.com/viewjob?jk=84d05c4b17ac7d14","http://ph.indeed.com/job/net-developer-mid-level-pasay-84d05c4b17ac7d14",".NET Developer | MID LEVEL | PASAY","SLI CONSULTINGINC.","Pasay, P00, PH","2026-07-13","fulltime, temporary","","","","","",False,"","","","","**Position: .NET Developer**  
**Work Setup: Full Onsite in Pasay**  
**Employment Type: Project\\-based, 6 mos initial contract**

**Job Requirements:**

* **At least 3 years of professional experience working with .NET technologies.**
* Solid programming experience using C\\# with .NET Framework or .NET Core.
* Experience designing or integrating RESTful web services.
* Working knowledge of relational databases and SQL queries.
* Experience using source control tools such as Git.
* Familiarity with Agile or iterative software development approaches.

Job Types: Full\\-time, Temporary

Pay: Php40,000\\.00 \\- Php50,000\\.00 per month

Benefits:

* Health insurance

Application Question(s):

* Do you have experience or projects related to Banking system?
* Can start ASAP or within 2 weeks' notice?
* What is your asking rate?

Experience:

* .net developer: 3 years (Required)

Willingness to travel:

* 100% (Required)

Work Location: In person","","https://ph.indeed.com/cmp/Sli-Consultinginc.","","","","","","","","","","","",""
